#
#   File Created by py.Aroma 3
#   Author: Zhe Wang (Ph.D.)
#   https://wongzit.github.com/program/pyaroma/
#

XY,-5.64,-5.44,-5.24,-5.04,-4.84,-4.64,-4.44,-4.24,-4.04,-3.84,-3.64,-3.44,-3.24,-3.04,-2.84,-2.64,-2.44,-2.24,-2.04,-1.84,-1.64,-1.44,-1.24,-1.04,-0.84,-0.64,-0.44,-0.24,-0.04,0.16,0.36,0.56,0.76,0.96,1.16,1.36,1.56,1.76,1.96,2.16,2.36,2.56,2.76,2.96,3.16,3.36,3.56,3.76,3.96,4.16,4.36,4.56,4.76,4.96,5.16,5.36,5.56,
-3.01,-0.5724,-0.6487,-0.7084,-0.737,-0.7199,-0.6488,-0.5313,-0.3928,-0.2611,-0.1409,-0.0067,0.1761,0.423,0.7175,1.0203,1.289,1.5005,1.6648,1.8235,2.0383,2.3823,2.9438,3.8229,5.0724,6.5503,7.8028,8.2437,7.6152,6.1952,4.5663,3.3904,3.4632,5.9351,12.3148,23.4604,36.7929,43.666,36.7802,22.2821,9.9055,2.7856,-0.008,-0.284,0.5832,1.7997,2.8895,3.539,3.6429,3.3473,2.9133,2.5238,2.2303,2.0139,1.8456,1.7053,1.5823,1.4698,
-2.81,-0.6403,-0.713,-0.7508,-0.7237,-0.5971,-0.3479,0.0043,0.3809,0.6841,0.877,1.0151,1.1902,1.4515,1.7769,2.0953,2.3322,2.4525,2.4832,2.5045,2.6238,2.9636,3.6806,4.9864,7.071,9.8276,12.4963,13.8196,13.0927,10.7497,7.8699,5.6698,5.3096,7.9606,14.9794,27.246,41.6482,48.0842,39.5475,23.4338,9.9135,2.1009,-0.9034,-0.7968,0.9203,3.133,5.0023,5.9251,5.7184,4.783,3.743,2.9591,2.4669,2.164,1.9578,1.7983,1.6632,1.5417,
-2.61,-0.7016,-0.7636,-0.7614,-0.6359,-0.3071,0.2906,1.1274,2.0143,2.6845,3.0079,3.0973,3.1737,3.3711,3.6656,3.9312,4.039,3.94,3.6959,3.45,3.3722,3.6385,4.4746,6.2259,9.3102,13.8576,18.9372,22.2691,22.1335,18.8899,14.2381,10.3889,9.0794,11.0182,16.5216,25.7279,36.0091,40.0078,32.8861,20.3548,9.4483,2.6368,-0.0839,0.7488,3.8986,7.6666,10.5312,11.3956,9.9057,7.2991,5.0239,3.5489,2.7447,2.3224,2.0718,1.8926,1.7455,1.6147,
-2.41,-0.7559,-0.8021,-0.7453,-0.4798,0.1545,1.3159,2.9951,4.8345,6.2328,6.8338,6.8228,6.6532,6.6343,6.7642,6.8302,6.6201,6.081,5.3474,4.6582,4.2535,4.344,5.1846,7.2054,11.0487,17.2441,25.1077,31.6364,33.5682,30.1451,23.2222,16.7087,13.5627,13.5298,14.6879,13.9249,9.9931,9.1797,10.3777,12.766,9.9471,5.8279,3.8138,5.9417,11.5826,17.8259,22.1252,22.1444,16.9733,10.7123,6.4773,4.1432,2.9999,2.4636,2.1772,1.9837,1.8271,1.6875,
-2.21,-0.8042,-0.8353,-0.7229,-0.3057,0.6812,2.5427,5.3688,8.6535,11.2923,12.4896,12.4585,11.9545,11.569,11.3735,11.0286,10.2069,8.8996,7.3913,6.0558,5.1928,5.0021,5.6918,7.6632,11.6419,18.4739,28.0563,37.7646,43.1921,40.7227,30.6513,19.7369,13.5408,10.1394,5.059,-7.7872,-26.8492,-26.6576,-16.6874,3.9396,11.0947,10.673,9.8085,14.2811,24.1398,33.5838,38.7048,36.5156,24.149,13.3557,7.3382,4.4344,3.1233,2.5504,2.2602,2.0658,1.9049,1.7586,
-2.01,-0.8479,-0.8721,-0.724,-0.1999,1.0529,3.487,7.3664,12.1968,16.4545,18.7714,19.1808,18.6242,18.0077,17.5171,16.6096,14.8193,12.32,9.6995,7.5147,6.089,5.5458,5.9675,7.6126,11.116,17.4199,26.9148,37.8705,45.5451,42.6021,26.4493,8.8477,-0.2695,-6.8674,-17.3253,-35.4097,-58.285,-62.0193,-37.1007,-8.9765,6.0269,10.7656,11.1502,19.0561,36.1239,47.8996,48.8306,39.8709,24.475,12.8301,6.8729,4.1741,3.0314,2.5542,2.3095,2.1332,1.9758,1.8255,
-1.81,-0.8866,-0.9166,-0.7692,-0.2316,1.0722,3.6573,7.9265,13.5934,19.2225,23.1469,24.9211,25.288,25.2847,25.0628,23.6618,20.5135,16.2988,12.1761,8.9395,6.8727,5.9504,6.072,7.2913,10.0405,15.1422,23.091,32.4834,38.0352,29.508,3.9491,-21.8448,-32.261,-39.0037,-50.6601,-66.7076,-81.2681,-80.6248,-60.1788,-34.298,-14.1858,-5.0121,-8.5757,0.8638,32.2262,48.7174,44.6042,31.6823,18.292,9.4858,5.2033,3.4141,2.7402,2.4763,2.3226,2.1828,2.0365,1.8856,
-1.61,-0.9164,-0.9643,-0.8529,-0.3952,0.7373,3.0123,6.8703,12.3052,18.4281,23.8496,27.7951,30.567,32.8572,34.1001,32.4448,27.4519,20.8998,14.8611,10.376,7.5945,6.2837,6.138,7.0011,9.0807,12.9757,18.9965,25.4927,26.5317,11.0673,-22.8972,-54.7918,-67.8823,-74.7836,-84.3064,-95.3879,-103.2223,-101.2964,-87.6601,-67.6871,-48.0816,-38.4671,-42.3393,36.7012,6.3835,32.3363,30.1875,19.7578,10.5957,5.2838,3.0954,2.4583,2.3555,2.3498,2.3085,2.2155,2.0854,1.9364,
-1.41,-0.9317,-1.0025,-0.9451,-0.6145,0.2375,1.9748,5.003,9.5351,15.2784,21.5038,27.7162,34.0659,40.378,44.2762,42.4956,35.1911,25.9135,17.8367,12.0774,8.5407,6.8128,6.4389,7.1004,8.8294,12.0279,16.8058,21.2845,19.6078,2.3386,-32.6015,-68.0581,-89.0588,-100.2325,-108.41,-115.2179,-119.1566,-117.8207,-110.0572,-97.0836,-81.3497,-68.2814,-62.7603,-33.8807,-8.1932,15.2592,15.263,8.9793,3.9181,1.6299,1.2729,1.621,2.0033,2.2242,2.2858,2.2369,2.1225,1.976,
-1.21,-0.9269,-1.0178,-1.0117,-0.8023,-0.2137,1.0183,3.2338,6.7544,11.7161,18.0795,25.9978,35.7688,46.1709,52.7219,50.8343,41.5913,30.4376,21.2075,14.6523,10.4336,8.1998,7.5664,8.1776,9.9525,13.0892,17.4363,20.8636,17.5301,-0.3774,-33.9313,-70.921,-97.8806,-113.0034,-120.9532,-125.321,-127.3579,-126.9503,-123.3265,-115.5762,-102.422,-82.177,-55.0657,-23.7027,1.5824,10.1646,7.3067,2.5279,-0.2336,-0.6437,0.1497,1.1054,1.7885,2.1527,2.2789,2.2562,2.15,2.0039,
-1.01,-0.8992,-1.0018,-1.0314,-0.9084,-0.5045,0.3757,2.0094,4.7411,8.9363,15.0214,23.6129,34.9926,47.1673,54.6931,52.8285,43.7846,33.7556,25.64,19.3303,14.593,11.6279,10.5384,11.1651,13.317,16.7806,20.7955,22.5887,15.9311,-5.5583,-39.9692,-75.9549,-102.9669,-118.4636,-125.6677,-128.6052,-129.8099,-130.1514,-129.0124,-124.3716,-112.6828,-89.3259,-53.3859,-15.6947,6.772,10.5695,5.7751,0.91,-1.2341,-1.097,-0.0127,1.073,1.8093,2.1889,2.3137,2.2844,2.1717,2.021,
-0.81,-0.8496,-0.9538,-1.0007,-0.926,-0.6276,0.0506,1.3396,3.5624,7.1495,12.6794,20.8119,31.5415,42.594,49.0546,47.692,41.9647,36.7611,32.264,27.375,22.3294,18.2494,16.266,16.7983,19.4478,23.1881,25.9564,23.1509,8.6182,-18.9709,-53.0544,-84.5952,-107.5676,-120.8349,-126.7378,-128.7866,-129.671,-130.5046,-130.7394,-127.9833,-117.9049,-95.5129,-59.828,-20.8355,4.323,10.5479,7.4381,3.5395,1.3933,0.858,1.2051,1.7703,2.1919,2.3898,2.4135,2.3307,2.1915,2.0287,
-0.61,-0.7823,-0.8796,-0.9287,-0.874,-0.6273,-0.0536,1.047,2.9603,6.0784,10.8997,17.8517,26.613,35.1188,39.9226,39.9233,38.9956,39.7803,40.0785,37.8456,33.121,27.5648,23.9051,23.8127,26.4952,29.6749,29.0778,16.389,-11.9868,-45.275,-71.3253,-93.1137,-110.3249,-121.1713,-126.3455,-128.2412,-129.2094,-130.3527,-131.1739,-129.3522,-120.8635,-101.3696,-69.6113,-33.3973,-6.9155,6.4911,11.5265,11.2402,8.7611,6.1837,4.4513,3.5501,3.091,2.8085,2.5924,2.3986,2.2109,2.0287,
-0.41,-0.7032,-0.7884,-0.8306,-0.7807,-0.5593,-0.046,0.9353,2.6275,5.3395,9.3935,14.922,21.4135,27.3184,30.791,32.179,34.7123,39.7402,44.6167,46.3129,43.0452,35.4694,28.5424,26.5283,27.7225,28.1504,21.7733,-1.8375,-39.0994,-70.2413,-82.1518,-93.9382,-107.8942,-118.6736,-124.7794,-127.5367,-129.0195,-130.3309,-130.981,-128.7905,-120.5322,-103.5398,-78.7664,-55.2973,-34.5031,-5.8969,19.6957,25.6634,21.6716,15.4552,10.1126,6.5958,4.5625,3.4463,2.84,2.481,2.2278,2.0213,
-0.21,-0.6184,-0.6896,-0.722,-0.6723,-0.471,-0.0126,0.8525,2.318,4.5949,7.8266,11.9131,16.2934,19.9605,22.1938,23.8922,27.4901,34.1277,41.928,47.2386,45.2418,33.5486,20.299,14.7667,13.2186,9.2319,-2.1381,-27.261,-58.2961,-72.1753,-73.7028,-83.124,-98.4778,-112.1789,-121.0214,-125.583,-127.9324,-129.2604,-128.9519,-124.6605,-113.7007,-95.3885,-74.9316,-64.5926,16.533,-5.0713,33.2256,43.1071,37.1749,27.262,17.4433,10.3795,6.3018,4.162,3.0979,2.5562,2.2354,2.0056,
-0.01,-0.5329,-0.5908,-0.6144,-0.5675,-0.392,-0.0021,0.7191,1.9092,3.6852,6.0547,8.7969,11.4127,13.3141,14.3572,15.467,18.4628,24.5158,32.5898,38.9002,35.9712,18.0358,-4.2754,-15.2429,-19.5013,-26.1146,-37.4317,-52.7069,-63.8106,-62.2082,-59.0287,-67.2762,-84.1794,-101.4675,-113.4716,-119.779,-122.8355,-124.0975,-122.5018,-114.8012,-98.215,-73.9709,-49.6814,-38.8239,-25.3256,7.0206,41.8006,50.5623,45.7569,35.7273,23.1626,13.214,7.5411,4.6551,3.2625,2.5916,2.2244,1.9796,
0.19,-0.4501,-0.4967,-0.5145,-0.4748,-0.3328,-0.0249,0.5302,1.4156,2.675,4.2424,5.8806,7.2126,7.9201,8.0713,8.4098,10.2684,14.7526,21.4079,26.8657,23.1648,2.4305,-26.8402,-46.4062,-56.4231,-64.5349,-72.4222,-77.3779,-74.2991,-62.8741,-52.9741,-54.7922,-69.2152,-87.7409,-100.5319,-106.2733,-108.8463,-110.3008,-108.5911,-98.3086,-75.8199,-45.8256,-18.9268,-4.7042,1.8663,17.7575,34.6561,40.7311,38.9071,32.1627,21.9212,12.9517,7.5224,4.6593,3.2485,2.5624,2.1883,1.9424,
0.39,-0.3721,-0.4097,-0.4245,-0.3952,-0.2901,-0.0664,0.3255,0.9267,1.7374,2.6731,3.5413,4.0925,4.1625,3.8579,3.7101,4.6849,7.803,13.1348,18.2653,16.5052,-0.8515,-31.7853,-61.2987,-81.1789,-93.0496,-98.8855,-97.8735,-88.2636,-71.7602,-55.6955,-50.1012,-60.6588,-76.206,-81.6633,-80.9652,-81.1489,-83.415,-84.8103,-77.1598,-52.6656,-20.7473,1.7572,10.3356,11.3395,14.3537,20.062,23.6607,23.5858,20.384,15.1279,9.9714,6.3407,4.1978,3.0618,2.4707,2.1283,1.8949,
0.59,-0.2997,-0.3302,-0.3437,-0.3255,-0.2548,-0.1055,0.1493,0.5251,1.0048,1.5165,1.9292,2.0936,1.9299,1.5314,1.2668,1.8581,4.2709,9.0139,14.5072,14.9901,1.4269,-28.7221,-64.0815,-91.739,-108.0085,-114.0856,-110.8987,-98.836,-80.1864,-61.177,-54.3171,-68.8436,-76.89,-59.7983,-44.1113,-40.6757,-44.1178,-53.3337,-60.9225,-42.7071,-8.2397,10.2171,12.296,8.9135,7.0896,8.3186,10.3142,11.1895,10.5738,8.8313,6.6813,4.8259,3.5546,2.7932,2.3439,2.0529,1.8403,
